url,Polarity,Subjectivity,Average sentence length,Fog index, average word per sentence,word count,syllable per word,personal pronoun,average word length
https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,0.14380907287157288,0.48527320397856105,129.39285714285714,19.88,25.214285714285715,706,1.6,4,5.131728045325779
https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,0.1890221260221261,0.5089167869167869,116.24137931034483,18.39,21.75862068965517,631,1.7,2,5.342313787638669
https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,0.15659562211981568,0.5481789379974863,123.8051948051948,24.69,22.77922077922078,1754,1.7,10,5.435005701254276
https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,0.09179823799389016,0.46205135444265866,156.46666666666667,21.88,29.266666666666666,439,1.7,1,5.34624145785877
https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,0.06447601010101009,0.5194868326118326,114.15625,14.28,22.15625,709,1.6,20,5.152327221438646
https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,0.15172308565751186,0.511521006316088,114.86792452830188,17.89,21.132075471698112,1120,1.7,3,5.435714285714286
https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,0.099448946370434,0.5354232406711746,121.14754098360656,16.61,21.491803278688526,1311,1.8,1,5.636918382913806
https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,0.07928894235016687,0.3629415369211289,103.50746268656717,20.67,19.597014925373134,1313,1.7,8,5.281797410510282
https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,0.11486956026429714,0.38558978615369605,97.30555555555556,14.17,18.22222222222222,1312,1.7,2,5.339939024390244
https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,-0.002729885057471275,0.4783045977011494,72.41463414634147,13.31,14.512195121951219,595,1.6,2,4.989915966386555
https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,0.06813319530710836,0.5021601104209801,95.71428571428571,17.58,18.057142857142857,632,1.7,3,5.300632911392405
https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,0.17799552507417676,0.45459360863855236,99.953125,13.82,19.84375,1270,1.5,29,5.037007874015748
https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,0.061493948228642105,0.38857231204169995,84.5,13.16,16.192307692307693,421,1.7,0,5.218527315914489
